DATElme;Official Ask LME
12/08/2021;9508,5
13/08/2021;9429,5
16/08/2021;9377
17/08/2021;9346,5
18/08/2021;9148,5
19/08/2021;8775,5
20/08/2021;8922
23/08/2021;9237
24/08/2021;9316,5
25/08/2021;9378,5
26/08/2021;9323
27/08/2021;9352
31/08/2021;9462,5
01/09/2021;9312
02/09/2021;9347
03/09/2021;9361
06/09/2021;9401,5
07/09/2021;9325
08/09/2021;9256
09/09/2021;9356,5
10/09/2021;9515
13/09/2021;9627
14/09/2021;9407
15/09/2021;9488,5
16/09/2021;9392
17/09/2021;9435,5
20/09/2021;9145,5
21/09/2021;9106
22/09/2021;9255
23/09/2021;9252
24/09/2021;9275
27/09/2021;9341
28/09/2021;9263
29/09/2021;9227
30/09/2021;9041
01/10/2021;9113
04/10/2021;9267,5
05/10/2021;9091,5
06/10/2021;9096
07/10/2021;9177
08/10/2021;9246
11/10/2021;9527
12/10/2021;9585
13/10/2021;9661
14/10/2021;9971
15/10/2021;10555
18/10/2021;10500
19/10/2021;10652
20/10/2021;10161
21/10/2021;10051
22/10/2021;9992
25/10/2021;10050
26/10/2021;9988
27/10/2021;9849,5
28/10/2021;9860
29/10/2021;9955
01/11/2021;9875
02/11/2021;9817
03/11/2021;9825
04/11/2021;9785
05/11/2021;9740
08/11/2021;9885
09/11/2021;10002
10/11/2021;9791
11/11/2021;9850
12/11/2021;9854,5
15/11/2021;9845
16/11/2021;9680
17/11/2021;9495
18/11/2021;9450
19/11/2021;9620,5
22/11/2021;9730
23/11/2021;9825,5
24/11/2021;9852
25/11/2021;9932
26/11/2021;9630
29/11/2021;9751
30/11/2021;9605
01/12/2021;9571
02/12/2021;9520
03/12/2021;9513
06/12/2021;9526
07/12/2021;9647
08/12/2021;9555,5
09/12/2021;9578
10/12/2021;9543
13/12/2021;9500
14/12/2021;9485
15/12/2021;9290
16/12/2021;9506
17/12/2021;9520
20/12/2021;9406
21/12/2021;9521
22/12/2021;9625
23/12/2021;9606
24/12/2021;9582
29/12/2021;9655
30/12/2021;9715
31/12/2021;9692
04/01/2022;9660
05/01/2022;9778
06/01/2022;9565
07/01/2022;9615
10/01/2022;9665
11/01/2022;9662
12/01/2022;9945
13/01/2022;9972
14/01/2022;9900
17/01/2022;9674,5
18/01/2022;9707
19/01/2022;9801
20/01/2022;9925
21/01/2022;9970
24/01/2022;9800
25/01/2022;9744
26/01/2022;9965
27/01/2022;9872
28/01/2022;9678
31/01/2022;9620
01/02/2022;9701
02/02/2022;9880
03/02/2022;9785
04/02/2022;9875
07/02/2022;9850
08/02/2022;9760
09/02/2022;9881
10/02/2022;10220,5
11/02/2022;10040
14/02/2022;9882
15/02/2022;10020
16/02/2022;10045,5
17/02/2022;10010
18/02/2022;10015
21/02/2022;9960
22/02/2022;10020
23/02/2022;10005
24/02/2022;9983
