"Date","Price","Open","High","Low","Vol.","Change %","Change.."
"09/01/2020",21.79,21.8915,21.9605,21.6754,NA,NA,"-0.40%"
"08/31/2020",21.8785,21.76,21.985,21.7404,NA,NA,"0.58%"
"08/28/2020",21.7523,22.1495,22.1626,21.7413,NA,NA,"-1.72%"
"08/27/2020",22.1338,21.942,22.2274,21.8211,NA,NA,"0.92%"
"08/26/2020",21.931,21.893,21.9871,21.8778,NA,NA,"0.21%"
"08/25/2020",21.885,22,22.0278,21.8748,NA,NA,"-0.43%"
"08/24/2020",21.979,21.9741,22.0439,21.879,NA,NA,"0.09%"
"08/21/2020",21.9598,22.076,22.1896,21.9424,NA,NA,"-0.52%"
"08/20/2020",22.074,22.1382,22.3304,22.0731,NA,NA,"-0.22%"
"08/19/2020",22.1231,22.159,22.1926,21.9959,NA,NA,"-0.12%"
"08/18/2020",22.1496,22.1845,22.2199,22.0078,NA,NA,"-0.08%"
"08/17/2020",22.167,21.97,22.2186,21.9004,NA,NA,"0.88%"
"08/14/2020",21.9742,22.189,22.243,21.9324,NA,NA,"-0.71%"
"08/13/2020",22.132,22.3535,22.4109,22.1357,NA,NA,"-0.94%"
"08/12/2020",22.342,22.4,22.5006,22.2596,NA,NA,"-0.20%"
"08/11/2020",22.386,22.4715,22.5214,22.2583,NA,NA,"-0.27%"
"08/10/2020",22.447,22.3855,22.5471,22.347,NA,NA,"0.40%"
"08/07/2020",22.3576,22.3965,22.6147,22.3404,NA,NA,"-0.05%"
"08/06/2020",22.368,22.3734,22.6143,22.2983,NA,NA,"0.05%"
"08/05/2020",22.3576,22.669,22.691,22.329,NA,NA,"-1.28%"
"08/04/2020",22.647,22.639,22.9225,22.5287,NA,NA,"0.10%"
"08/03/2020",22.6246,22.2644,22.7017,22.2535,NA,NA,"1.59%"
"07/31/2020",22.2714,22.0265,22.309,21.9696,NA,NA,"1.22%"
"07/30/2020",22.004,21.975,22.2484,21.9564,NA,NA,"0.20%"
"07/29/2020",21.961,21.943,22.0559,21.8384,NA,NA,"0.16%"
"07/28/2020",21.925,21.9225,22.1094,21.8914,NA,NA,"0.05%"
"07/27/2020",21.914,22.2945,22.325,21.9181,NA,NA,"-1.55%"
"07/24/2020",22.259,22.512,22.6354,22.232,NA,NA,"-1.02%"
"07/23/2020",22.489,22.37,22.5638,22.2472,NA,NA,"0.59%"
"07/22/2020",22.358,22.338,22.4348,22.1784,NA,NA,"0.11%"
"07/21/2020",22.3327,22.494,22.5191,22.2602,NA,NA,"-0.65%"
"07/20/2020",22.479,22.557,22.7275,22.4497,NA,NA,"-0.27%"
"07/17/2020",22.54,22.4238,22.6244,22.3764,NA,NA,"0.57%"
"07/16/2020",22.4119,22.327,22.4746,22.269,NA,NA,"0.40%"
"07/15/2020",22.322,22.4545,22.461,22.2495,NA,NA,"-0.54%"
"07/14/2020",22.443,22.762,22.7836,22.4189,NA,NA,"-1.40%"
"07/13/2020",22.7615,22.457,22.7715,22.3683,NA,NA,"1.42%"
"07/10/2020",22.4435,22.6425,22.8545,22.4312,NA,NA,"-0.81%"
"07/09/2020",22.626,22.6645,22.782,22.5308,NA,NA,"-0.13%"
"07/08/2020",22.655,22.859,22.9175,22.6382,NA,NA,"-0.81%"
"07/07/2020",22.841,22.3363,22.8915,22.2509,NA,NA,"2.31%"
"07/06/2020",22.3259,22.4145,22.4233,22.1509,NA,NA,"-0.29%"
"07/03/2020",22.3915,22.477,22.601,22.3729,NA,NA,"-0.33%"
"07/02/2020",22.465,22.6745,22.7482,22.4014,NA,NA,"-0.89%"
"07/01/2020",22.666,22.9987,23.0932,22.6162,NA,NA,"-1.40%"
"06/30/2020",22.9889,23.0714,23.2305,22.9314,NA,NA,"-0.31%"
"06/29/2020",23.0595,23.0684,23.2045,22.9244,NA,NA,"0.05%"
"06/26/2020",23.0485,22.6624,23.0774,22.6297,NA,NA,"1.78%"
"06/25/2020",22.6452,22.7851,22.9885,22.627,NA,NA,"-0.58%"
"06/24/2020",22.7772,22.4139,22.8045,22.3039,NA,NA,"1.65%"
"06/23/2020",22.4082,22.487,22.6815,22.2811,NA,NA,"-0.35%"
"06/22/2020",22.486,22.653,22.6765,22.3004,NA,NA,"-0.65%"
"06/19/2020",22.6328,22.753,22.7728,22.4986,NA,NA,"-0.48%"
"06/18/2020",22.7418,22.314,22.8301,22.1887,NA,NA,"1.98%"
"06/17/2020",22.301,22.323,22.4732,22.1525,NA,NA,"-0.04%"
"06/16/2020",22.3095,22.2239,22.3985,21.8919,NA,NA,"0.43%"
"06/15/2020",22.2139,22.3577,22.7599,22.124,NA,NA,"-0.02%"
"06/12/2020",22.2189,22.7632,22.9476,22.1795,NA,NA,"-2.28%"
"06/11/2020",22.7368,21.8745,22.7922,21.851,NA,NA,"4.03%"
"06/10/2020",21.857,21.9172,22.045,21.6785,NA,NA,"-0.20%"
"06/09/2020",21.9017,21.5045,21.934,21.4601,NA,NA,"1.91%"
"06/08/2020",21.492,21.5707,21.7262,21.4736,NA,NA,"-0.43%"
"06/05/2020",21.5844,21.9095,21.955,21.4909,NA,NA,"-1.57%"
"06/04/2020",21.928,21.7715,21.9964,21.7003,NA,NA,"0.78%"
"06/03/2020",21.7579,21.79,21.8133,21.5019,NA,NA,"-0.11%"
"06/02/2020",21.7817,22.033,22.1189,21.5758,NA,NA,"-1.10%"
"06/01/2020",22.024,22.2801,22.286,21.9294,NA,NA,"-0.65%"
"05/29/2020",22.1675,22.2184,22.344,21.9972,NA,NA,"-0.23%"
"05/28/2020",22.2179,22.304,22.4216,22.0953,NA,NA,"-0.31%"
"05/27/2020",22.288,22.1995,22.4925,22.1405,NA,NA,"0.46%"
"05/26/2020",22.186,22.5494,22.5917,22.1054,NA,NA,"-1.55%"
"05/25/2020",22.5342,22.7225,22.7717,22.5185,NA,NA,"-0.84%"
"05/22/2020",22.725,22.8649,23.165,22.707,NA,NA,"-0.61%"
"05/21/2020",22.8644,23.1995,23.2803,22.7507,NA,NA,"-1.41%"
"05/20/2020",23.191,23.6815,23.7544,23.0545,NA,NA,"-2.07%"
"05/19/2020",23.681,23.759,23.7992,23.4435,NA,NA,"-0.27%"
"05/18/2020",23.746,24.006,24.0074,23.4471,NA,NA,"-0.76%"
"05/15/2020",23.9282,23.871,24.1252,23.7518,NA,NA,"0.29%"
"05/14/2020",23.86,24.2059,24.3892,23.7395,NA,NA,"-1.41%"
"05/13/2020",24.2009,24.358,24.3999,23.9974,NA,NA,"-0.63%"
"05/12/2020",24.355,23.9275,24.4244,23.7511,NA,NA,"1.81%"
"05/11/2020",23.921,23.692,23.9825,23.5387,NA,NA,"1.27%"
"05/08/2020",23.621,24.061,24.1335,23.5535,NA,NA,"-1.71%"
"05/07/2020",24.031,24.385,24.551,23.9187,NA,NA,"-1.32%"
"05/06/2020",24.353,24.003,24.4185,23.8638,NA,NA,"1.53%"
"05/05/2020",23.986,24.07,24.1805,23.777,NA,NA,"-0.31%"
"05/04/2020",24.06,24.7335,24.8871,24.0583,NA,NA,"-2.07%"
"05/01/2020",24.5681,24.175,24.886,24.1066,NA,NA,"1.73%"
"04/30/2020",24.151,23.7415,24.197,23.6325,NA,NA,"1.74%"
"04/29/2020",23.738,24.2945,24.3347,23.7393,NA,NA,"-2.20%"
"04/28/2020",24.271,24.6925,24.9072,24.2104,NA,NA,"-1.64%"
"04/27/2020",24.6759,25.005,25.0352,24.6732,NA,NA,"-1.09%"
"04/24/2020",24.949,24.8075,25.2975,24.5962,NA,NA,"0.58%"
"04/23/2020",24.806,24.492,24.8575,24.3101,NA,NA,"1.39%"
"04/22/2020",24.467,24.3923,24.702,24.2069,NA,NA,"0.30%"
"04/21/2020",24.393,24.049,24.549,23.9657,NA,NA,"1.48%"
"04/20/2020",24.038,23.875,24.244,23.86,NA,NA,"1.55%"
"04/17/2020",23.671,24.0255,24.153,23.6075,NA,NA,"-1.37%"
"04/16/2020",24.001,23.9986,24.436,23.9657,NA,NA,"0.11%"
